condition,consent_key.keys,consent_key.rt,done_with_instructions.keys,done_with_instructions.rt,instr_loop.thisRepN,instr_loop.thisTrialN,instr_loop.thisN,instr_loop.thisIndex,instr_loop.ran,Student ID #,date,expName,psychopyVersion,OS,frameRate,instr_learning_key.keys,instr_learning_key.rt,card_gen_loop.thisRepN,card_gen_loop.thisTrialN,card_gen_loop.thisN,card_gen_loop.thisIndex,card_gen_loop.ran,swa,eng,choose_pile.x,choose_pile.y,choose_pile.leftButton,choose_pile.midButton,choose_pile.rightButton,choose_pile.time,choose_pile.clicked_name,choices.thisRepN,choices.thisTrialN,choices.thisN,choices.thisIndex,choices.ran,card_to_show,mouse_pick.x,mouse_pick.y,mouse_pick.leftButton,mouse_pick.midButton,mouse_pick.rightButton,mouse_pick.time,mouse_pick.clicked_name,key_instr_study.keys,next_study.keys,study_loop.thisRepN,study_loop.thisTrialN,study_loop.thisN,study_loop.thisIndex,study_loop.ran,key_instr_test.keys,key_instr_test.rt,duration,yes_or_no.x,yes_or_no.y,yes_or_no.leftButton,yes_or_no.midButton,yes_or_no.rightButton,yes_or_no.time,yes_or_no.clicked_name,test_response.stim,test_response.resp,test_response.eval,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,test_loop.ran,learn_loop.thisRepN,learn_loop.thisTrialN,learn_loop.thisN,learn_loop.thisIndex,learn_loop.ran,key_instr_study.rt,next_study.rt
,,,,,,,,,,1608897,2020-10-30_20h40.38.053,swahili,2020.2.4,Win32,60,,,0,9,9,9,1,MSHONI,TAILOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1608897,2020-10-30_20h40.38.053,swahili,2020.2.4,Win32,60,,,0,10,10,10,1,JIBINI,CHEESE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1608897,2020-10-30_20h40.38.053,swahili,2020.2.4,Win32,60,,,0,11,11,11,1,ZABIBU,GRAPES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1608897,2020-10-30_20h40.38.053,swahili,2020.2.4,Win32,60,,,0,12,12,12,1,KABURI,GRAVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1608897,2020-10-30_20h40.38.053,swahili,2020.2.4,Win32,60,,,0,13,13,13,1,SAMADI,MANURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1608897,2020-10-30_20h40.38.053,swahili,2020.2.4,Win32,60,,,0,14,14,14,1,WAKILI,AGENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1608897,2020-10-30_20h40.38.053,swahili,2020.2.4,Win32,60,,,0,15,15,15,1,RUSHWA,BRIBE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1608897,2020-10-30_20h40.38.053,swahili,2020.2.4,Win32,60,,,0,16,16,16,1,YATIMA,ORPHAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1608897,2020-10-30_20h40.38.053,swahili,2020.2.4,Win32,60,,,0,17,17,17,1,TALAKA,DIVORCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1608897,2020-10-30_20h40.38.053,swahili,2020.2.4,Win32,60,,,0,18,18,18,1,MASHUA,BOAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1608897,2020-10-30_20h40.38.053,swahili,2020.2.4,Win32,60,,,0,19,19,19,1,DAFINA,TREASURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1608897,2020-10-30_20h40.38.053,swahili,2020.2.4,Win32,60,,,,,,,,,,-0.367708324,-0.105555572,1,0,0,5.88422,unsorted_card,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1608897,2020-10-30_20h40.38.053,swahili,2020.2.4,Win32,60,,,,,,,,,,-0.363541657,-0.105555572,1,0,0,2.79659,unsorted_card,1,0,1,0,1,MERCHANT - TAJIRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1608897,2020-10-30_20h40.38.053,swahili,2020.2.4,Win32,60,,,,,,,,,,0.326041686,0.411111102,1,0,0,1.797865,study_pile,2,0,2,0,1,MERCHANT - TAJIRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1608897,2020-10-30_20h40.38.053,swahili,2020.2.4,Win32,60,,,,,,,,,,-0.32187499,-0.050000016,1,0,0,1.47936,unsorted_card,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1608897,2020-10-30_20h40.38.053,swahili,2020.2.4,Win32,60,,,,,,,,,,0.319791686,0.475925918,1,0,0,4.87887,study_pile,4,0,4,0,1,PARROT - KASUKU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1608897,2020-10-30_20h40.38.053,swahili,2020.2.4,Win32,60,,,,,,,,,,-0.271874989,-0.035185201,1,0,0,0.96071,unsorted_card,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1608897,2020-10-30_20h40.38.053,swahili,2020.2.4,Win32,60,,,,,,,,,,0.433333355,0.440740732,1,0,0,7.47781,study_pile,6,0,6,0,1,BULL - FAHILI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1608897,2020-10-30_20h40.38.053,swahili,2020.2.4,Win32,60,,,,,,,,,,-0.221874925,-0.198148279,1,0,0,1.87697,unsorted_card,7,0,7,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1608897,2020-10-30_20h40.38.053,swahili,2020.2.4,Win32,60,,,,,,,,,,0.333333353,0.481481474,1,0,0,2.49813,study_pile,8,0,8,0,1,PLATE - SAHANI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1608897,2020-10-30_20h40.38.053,swahili,2020.2.4,Win32,60,,,,,,,,,,-0.257291656,0.038888875,1,0,0,0.977555,unsorted_card,9,0,9,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1608897,2020-10-30_20h40.38.053,swahili,2020.2.4,Win32,60,,,,,,,,,,0.376041687,0.390740732,1,0,0,2.963255,study_pile,10,0,10,0,1,YEAST - HAMIRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1608897,2020-10-30_20h40.38.053,swahili,2020.2.4,Win32,60,,,,,,,,,,-0.34062499,-0.024074089,1,0,0,0.877975,unsorted_card,11,0,11,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1608897,2020-10-30_20h40.38.053,swahili,2020.2.4,Win32,60,,,,,,,,,,0.385416687,0.009259244,1,0,0,8.13007,test_pile,12,0,12,0,1,BLAME - LAWAMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1608897,2020-10-30_20h40.38.053,swahili,2020.2.4,Win32,60,,,,,,,,,,-0.184374988,0.11296295,1,0,0,0.7776,unsorted_card,13,0,13,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1608897,2020-10-30_20h40.38.053,swahili,2020.2.4,Win32,60,,,,,,,,,,0.333333353,0.462962955,1,0,0,3.98106,study_pile,14,0,14,0,1,OATH - YAMINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1608897,2020-10-30_20h40.38.053,swahili,2020.2.4,Win32,60,,,,,,,,,,-0.264583322,-0.061111127,1,0,0,0.84599,unsorted_card,15,0,15,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1608897,2020-10-30_20h40.38.053,swahili,2020.2.4,Win32,60,,,,,,,,,,0.326041686,0.383333324,1,0,0,12.680575,study_pile,16,0,16,0,1,CORN - NAFAKA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1608897,2020-10-30_20h40.38.053,swahili,2020.2.4,Win32,60,,,,,,,,,,-0.376041657,-1.4912E-08,1,0,0,1.81222,unsorted_card,17,0,17,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1608897,2020-10-30_20h40.38.053,swahili,2020.2.4,Win32,60,,,,,,,,,,0.425000021,-0.007407422,1,0,0,6.430495,test_pile,18,0,18,0,1,POEM - UTENZI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1608897,2020-10-30_20h40.38.053,swahili,2020.2.4,Win32,60,,,,,,,,,,-0.261458322,-0.155555573,1,0,0,0.84501,unsorted_card,19,0,19,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1608897,2020-10-30_20h40.38.053,swahili,2020.2.4,Win32,60,,,,,,,,,,0.508333356,0.027777763,1,0,0,10.23028,test_pile,20,0,20,0,1,TAILOR - MSHONI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1608897,2020-10-30_20h40.38.053,swahili,2020.2.4,Win32,60,,,,,,,,,,-0.183333321,0.057407393,1,0,0,1.134825,unsorted_card,21,0,21,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1608897,2020-10-30_20h40.38.053,swahili,2020.2.4,Win32,60,,,,,,,,,,0.360416687,0.38888888,1,0,0,2.34211,study_pile,22,0,22,0,1,CHEESE - JIBINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1608897,2020-10-30_20h40.38.053,swahili,2020.2.4,Win32,60,,,,,,,,,,-0.403124991,-0.2314815,1,0,0,1.396915,unsorted_card,23,0,23,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1608897,2020-10-30_20h40.38.053,swahili,2020.2.4,Win32,60,,,,,,,,,,0.485416689,0.47777777,1,0,0,4.246575,study_pile,24,0,24,0,1,GRAPES - ZABIBU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1608897,2020-10-30_20h40.38.053,swahili,2020.2.4,Win32,60,,,,,,,,,,-0.357291657,0.237037026,1,0,0,0.997215,unsorted_card,25,0,25,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1608897,2020-10-30_20h40.38.053,swahili,2020.2.4,Win32,60,,,,,,,,,,0.558333357,0.494444437,1,0,0,4.962475,study_pile,26,0,26,0,1,GRAVE - KABURI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1608897,2020-10-30_20h40.38.053,swahili,2020.2.4,Win32,60,,,,,,,,,,-0.165624988,0.183333265,1,0,0,1.39629,unsorted_card,27,0,27,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1608897,2020-10-30_20h40.38.053,swahili,2020.2.4,Win32,60,,,,,,,,,,0.479166689,0.40925925,1,0,0,4.962915,study_pile,28,0,28,0,1,MANURE - SAMADI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1608897,2020-10-30_20h40.38.053,swahili,2020.2.4,Win32,60,,,,,,,,,,-0.142708321,0.068518505,1,0,0,1.713675,unsorted_card,29,0,29,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1608897,2020-10-30_20h40.38.053,swahili,2020.2.4,Win32,60,,,,,,,,,,0.418750021,0.429629621,1,0,0,8.764235,study_pile,30,0,30,0,1,AGENT - WAKILI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1608897,2020-10-30_20h40.38.053,swahili,2020.2.4,Win32,60,,,,,,,,,,-0.185416591,-0.070370386,1,0,0,0.88059,unsorted_card,31,0,31,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1608897,2020-10-30_20h40.38.053,swahili,2020.2.4,Win32,60,,,,,,,,,,0.468750022,0.588888883,1,0,0,7.98211,study_pile,32,0,32,0,1,BRIBE - RUSHWA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1608897,2020-10-30_20h40.38.053,swahili,2020.2.4,Win32,60,,,,,,,,,,-0.398958324,-0.144444461,1,0,0,0.9285,unsorted_card,33,0,33,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1608897,2020-10-30_20h40.38.053,swahili,2020.2.4,Win32,60,,,,,,,,,,0.419791688,0.407407399,1,0,0,4.13088,study_pile,34,0,34,0,1,ORPHAN - YATIMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1608897,2020-10-30_20h40.38.053,swahili,2020.2.4,Win32,60,,,,,,,,,,-0.363541657,0.14259258,1,0,0,0.828645,unsorted_card,35,0,35,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1608897,2020-10-30_20h40.38.053,swahili,2020.2.4,Win32,60,,,,,,,,,,0.54166669,0.542592586,1,0,0,2.96405,study_pile,36,0,36,0,1,DIVORCE - TALAKA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1608897,2020-10-30_20h40.38.053,swahili,2020.2.4,Win32,60,,,,,,,,,,-0.140624987,0.118518449,1,0,0,1.12946,unsorted_card,37,0,37,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1608897,2020-10-30_20h40.38.053,swahili,2020.2.4,Win32,60,,,,,,,,,,0.353125147,0.414814806,1,0,0,14.497145,study_pile,38,0,38,0,1,BOAT - MASHUA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1608897,2020-10-30_20h40.38.053,swahili,2020.2.4,Win32,60,,,,,,,,,,-0.195833258,0.0148148,1,0,0,0.762445,unsorted_card,39,0,39,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1608897,2020-10-30_20h40.38.053,swahili,2020.2.4,Win32,60,,,,,,,,,,0.388541687,0.459259251,1,0,0,9.28055,study_pile,40,0,40,0,1,TREASURE - DAFINA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1608897,2020-10-30_20h40.38.053,swahili,2020.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,0.528125023,0.185185173,1,0,0,3.560585,test_first,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1608897,2020-10-30_20h40.38.053,swahili,2020.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,12.96099,52.51101,0.398958354,0.064814801,1,0,0,2.21512,yes,TAILOR,MALORA,incorrect,0,0,0,0,1,,,,,,,
,,,,,,,,,,1608897,2020-10-30_20h40.38.053,swahili,2020.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.36125,0.403125021,0.059259245,1,0,0,1.233815,yes,POEM,POEM,correct,1,0,1,0,1,,,,,,,
,,,,,,,,,,1608897,2020-10-30_20h40.38.053,swahili,2020.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.028005,0.332291687,0.057407393,1,0,0,1.616685,yes,BLAME,AMIN,incorrect,2,0,2,0,1,,,,,,,
,,,,,,,,,,1608897,2020-10-30_20h40.38.053,swahili,2020.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,
,,,,,,,,,,1608897,2020-10-30_20h40.38.053,swahili,2020.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,OATH - YAMINI,,,,,,,,return,return,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,10.1235,1.506765
,,,,,,,,,,1608897,2020-10-30_20h40.38.053,swahili,2020.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,ORPHAN - YATIMA,,,,,,,,,return,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,1.602385
